group,Metric,Surname,Zip,BISG,BIFSG,ZRP,NamePrism,BIRDiE
F1 by Race,White,5,4,2,1,3,6,--
F1 by Race,Black,5,4,3,1,2,6,--
F1 by Race,Hispanic,1,6,5,3,4,2,--
F1 by Race,Asian,1,6,4,2,5,3,--
F1 Aggregated,F1 Micro,4,5,2,1,3,6,--
F1 Aggregated,F1 Macro,4,6,2,1,3,5,--
F1 Aggregated,F1 Weighted,4,5,2,1,3,6,--
Racial Gaps (vs. Ground Truth),Black-White,7,6,4,3,2,5,1
Racial Gaps (vs. Ground Truth),Black-Hispanic,3,4,6,7,5,1,2
Racial Gaps (vs. Ground Truth),Black-Asian,3,6,7,5,2,1,4
Racial Gaps (vs. Ground Truth),Hispanic-White,3,1,5,7,6,4,2
Racial Gaps (vs. Ground Truth),Hispanic-Asian,1,3,5,6,7,2,4
Racial Gaps (vs. Ground Truth),Asian-White,5,3,2,1,7,6,4
Population Accuracy,Pop: White,5,4,3,2,1,6,--
Population Accuracy,Pop: Black,5,4,3,1,2,6,--
Population Accuracy,Pop: Hispanic,1,6,2,3,4,5,--
Population Accuracy,Pop: Asian,3,6,1,2,5,4,--
Population Accuracy,Distance,5,4,3,2,1,6,--
